date,user,is_retweet,is_quote,text,quoted_text
2020-11-08 19:28:01,Dottcha,True,True,RT @BenjaminNorton: A group of pro-imperialist fake "leftist" frauds like neo-McCarthyite snitch @AReidRoss push a stupid conspiracy that w…,Bolivia's new President Arce stressed: "Our will is to work for a multipolar world, one in which the supremacy of a single power does not exist, in which all states and human beings live without war, hate, pillaging of our natural resources, exploitation"
https://t.co/3VPxFXxbEy
2020-11-08 19:28:10,pdq8ball,False,False,@BreitbartNews No guns on their backs though, it's free speech &amp; you hate it,
2020-11-08 19:28:11,govindasmritu,False,False,https://t.co/BHSrKdCBaD,
2020-11-08 19:28:24,feckitdotcom,False,False,@msgolly99 @karenbruce9 @JeremyVineOn5 Not believing in God isn't hate speech.
So you'd say offensive things at home that are against the law to say in public?,
2020-11-08 19:28:26,AnonFromWales1,False,True,Thought crime, newspeak, doublespeak.

If you don't know what those words mean, read 1984.,Should the laws covering hate speech be extended to your own home? 

At the moment, you can say what you like around your own dinner table, but if it's really offensive, should you be punished for it? 

If you said it in public you might be, so why not in private? #jeremyvine https://t.co/cegbH0YL4V
2020-11-08 19:28:32,sirnutsandbull1,True,False,RT @FurqanReisen: Prince Harry spoke against hate speech &amp; online 
negativity
Racists: 😡royals dont do politics. He represents the queen

P…,
2020-11-08 19:28:39,ParvezChowdhary,True,False,RT @Hindutva__watch: OpIndia: Hate speech, vanishing advertisers, and an undisclosed BJP connection https://t.co/JypboLUTGB,
2020-11-08 19:29:03,isinm,False,False,@KareinMayo That's what you get for spreading hate speech in your module group😒,
2020-11-08 19:29:03,NarrowboatD,False,False,@Nigel_Farage Hate speech? What a lunatic.,
